department,type,state,processed_date,user,amount,category,source_id,opened_at,number,short_description,ci
Sales,,Processed,2023-11-07 07:20:00,Savannah Loffier,4697,Assets,KAR-82626152,2023-10-20 07:20:00,EXP00000477,Purchase of new office assets,Dell Latitude 7420
Customer Support,,Processed,2023-04-19 10:19:00,Petra Mcnichol,6344,Assets,JBB-02177318,2023-03-28 10:19:00,EXP00000478,Acquisition of new hardware asset,Dell Latitude 5480
Sales,,Processed,2023-04-26 00:43:00,Bertie Luby,3045,Miscellaneous,,2023-04-14 00:43:00,EXP00000479,Miscellaneous Hardware Asset Creation,Dell Inspiron 15
Sales,,Processed,2023-07-02 08:33:00,Luella Pliner,2741,Travel,,2023-06-20 08:33:00,EXP00000480,Travel assistance request for purchasing a laptop,Dell Latitude 7420
Sales,,Submitted,,Lacy Hyten,7072,Travel,,2023-05-17 19:44:00,EXP00000481,Travel equipment management asset,Travel Gadgets Management System
Customer Support,,Processed,2023-08-14 17:33:00,Geri Forness,363,Miscellaneous,,2023-08-12 17:33:00,EXP00000482,Acquisition of new hardware asset,Miscellaneous - High Definition Projector
Customer Support,,Processed,2023-07-28 04:59:00,Sue Haakinson,7585,Assets,RTA-41402012,2023-06-29 04:59:00,EXP00000483,Asset category Dell Latitude laptop,Dell Latitude 7420
IT,,Submitted,,Virgil Chinni,7595,Travel,,2023-07-10 00:36:00,EXP00000484,Automatically generated asset for travel laptop,Dell Latitude 3500 Travel Laptop
Customer Support,,Processed,2024-04-08 13:10:00,Misty Ericksen,896,Miscellaneous,,2024-04-04 13:10:00,EXP00000485,Addition of new Miscellaneous hardware asset,Miscellaneous_Device_01
Sales,,Processed,2024-04-16 16:20:00,Savannah Loffier,8776,Assets,DDN-96234054,2024-03-14 16:20:00,EXP00000486,Asset generated for IT hardware,Dell Latitude 3490
Sales,,Processed,2023-03-12 18:09:00,Nadia Wilshire,2694,Miscellaneous,,2023-02-28 18:09:00,EXP00000487,New addition of office equipment under Miscellaneous category,Dell OptiPlex 7020 Desktop
Sales,,Pending,,Cristina Sharper,5559,Assets,KOB-06484551,2024-04-03 18:13:00,EXP00000488,Acquisition and registration of Lenovo ThinkPad X1,Lenovo ThinkPad X1
Sales,,Processed,2023-11-28 14:50:00,Rob Woodbyrne,2915,Assets,WDT-27043825,2023-11-17 14:50:00,EXP00000489,Asset tracking for new IT equipment,Dell Latitude 5420 Laptop
Sales,,Processed,2024-01-08 02:44:00,Nadia Wilshire,1173,Services,TFS-49717320,2024-01-02 02:44:00,EXP00000490,ServiceNow cloud subscription,ServiceNow_Business_Service
Customer Support,,Pending,,Marcie Shulz,1930,Travel,,2023-07-07 00:15:00,EXP00000491,Automatically generated asset for Travel category,Travel Equipment
Sales,,Processed,2023-04-10 16:50:00,Karen Zombo,2693,Assets,JVV-18506675,2023-03-30 16:50:00,EXP00000492,Company asset tracking for newly added hardware,Dell Latitude 5420
Sales,,Pending,,Cristina Sharper,8445,Assets,DSS-27047700,2024-04-14 13:08:00,EXP00000493,Automatically added asset for new server,Dell PowerEdge T440 Server
Sales,,Processed,2024-04-16 08:04:00,Melody Saddat,1761,Services,BIQ-86859491,2024-04-11 08:04:00,EXP00000494,Asset registered for new Service package,Cloud Service Subscription
Customer Support,,Processed,2024-04-03 22:07:00,Nelly Jakuboski,1674,Miscellaneous,,2024-03-28 22:07:00,EXP00000495,Registered new Miscellaneous hardware asset,HP LaserJet 403gn Printer
Customer Support,,Declined,,Sal Pindell,2837,Assets,BTN-71981617,2024-02-26 09:24:00,EXP00000496,Newly added asset within Infrastructure,Dell Latitude 5420
Customer Support,,Processed,2023-08-04 05:31:00,Wilfredo Gidley,3068,Miscellaneous,,2023-07-23 05:31:00,EXP00000497,Miscellaneous category - Hardware asset creation,Dell OptiPlex 7070 Micro
Finance,,Submitted,,Fausto Marks,775,Services,USO-04138367,2023-06-28 23:45:00,EXP00000498,Automatically generated expense line for creation of asset,Cloud Service
IT,,Processed,2023-08-22 19:40:00,Forest Orea,7270,Assets,LKK-70966040,2023-07-24 19:40:00,EXP00000499,Dell Latitude 7480 laptop asset entry,Dell Latitude 7480
