user,category,source_id,number,amount,opened_at,department,state,type,processed_date,short_description,ci
Rosalie Krigger,Assets,OXP-07315631,EXP00000477,3931,2023-09-01 09:01:00,HR,Declined,,,Procurement of new hardware asset,HP EliteBook 850 G5
Geri Forness,Assets,WQS-65385193,EXP00000478,6755,2024-04-15 06:52:00,Customer Support,Processed,,2024-04-16 06:52:00.000000000,Procurement of new IT material for department,Dell Latitude 7490
Cristina Sharper,Travel,,EXP00000479,3054,2023-07-25 14:42:00,Sales,Declined,,,Automatically generated expense line for creation of travel asset,Airline Tickets
Sue Haakinson,Travel,,EXP00000480,7662,2023-09-13 07:02:00,Customer Support,Processed,,2023-09-23 15:26:54.829374155,Automatically generated expense for creation of travel asset,Standard Coach Class Flight Ticket
Rob Woodbyrne,Travel,,EXP00000481,914,2023-10-15 18:17:00,Sales,Pending,,,Automatically generated expense line for creation of travel-related asset,Luxury Coach Bus
Cristina Sharper,Travel,,EXP00000482,2184,2023-09-21 06:17:00,Sales,Processed,,2023-09-22 06:17:00.000000000,Travel equipment acquisition,Travel Pro Suitcase Wheel Replacement
Howard Johnson,Travel,,EXP00000483,3699,2023-02-19 18:24:00,Sales,Declined,,,Travel equipment asset creation,Travel Pack Backpack
Owen Sparacino,Assets,MLX-95111866,EXP00000484,4420,2023-10-13 01:13:00,Customer Support,Processed,,2023-10-14 01:13:00.000000000,Automatically tracked hardware asset,Dell Inspiron 5400 Laptop
Viola Mcsorley,Travel,,EXP00000485,4183,2023-08-18 08:15:00,Customer Support,Declined,,,Travel Expense for Asset Creation,Travel Management CI
Sean Bonnet,Miscellaneous,,EXP00000486,4559,2024-04-14 00:20:00,Customer Support,Declined,,,Miscellaneous hardware asset generated,Generic USB Device
Sadie Rowlett,Travel,,EXP00000487,2921,2023-06-30 16:09:00,IT,Processed,,2023-07-05 01:26:23.530219712,Hardware asset for travel purposes,Dell Latitude 7420
Leif Bachta,Services,VAE-45201577,EXP00000488,1324,2023-12-15 03:14:00,Sales,Declined,,,Provision of ServiceNow Glide Consulting,ServiceNow Consulting Services
Geri Forness,Assets,POO-19084113,EXP00000489,7432,2023-09-24 00:38:00,Customer Support,Submitted,,,Adding a new asset to the fleet,Dell Latitude 5411 i7
Luella Pliner,Travel,,EXP00000490,5123,2023-12-26 13:55:00,Sales,Processed,,2024-01-07 21:18:42.015591341,Automatically registered hardware asset from travel department,Dell Latitude 5420 Travel Laptop
Rosalie Krigger,Assets,BYA-19391112,EXP00000491,5523,2024-03-07 23:40:00,HR,Processed,,2024-03-19 02:12:49.458507613,Procurement of new office asset,Dell Latitude 7520 laptop
Carmel Overfelt,Services,RRB-95647520,EXP00000492,1547,2023-06-05 04:52:00,Customer Support,Declined,,,Services related hardware asset,Cloud Server Instance
Carolina Kinlaw,Assets,UUF-93935740,EXP00000493,3584,2023-06-22 19:16:00,Sales,Pending,,,Newly added hardware asset - Dell Desktop,Dell OptiPlex 3070
Owen Sparacino,Assets,EZZ-71634129,EXP00000494,7480,2023-04-19 15:04:00,Customer Support,Declined,,,Asset initialization for newly procured system,Dell Latitude 7400
Georgette Bandyk,Travel,,EXP00000495,2574,2024-04-07 02:20:00,Customer Support,Processed,,2024-04-11 21:04:34.715412655,Automatically generated asset for travel equipment,Targus Compact Rolling Backpack for Travel
Cyril Behen,Assets,SZO-13930938,EXP00000496,6119,2023-06-02 08:55:00,Development,Pending,,,Asset registration for company hardware,Dell Latitude 7400
Sal Pindell,Assets,BRX-18113487,EXP00000497,3321,2023-11-22 13:17:00,Customer Support,Processed,,2023-12-01 11:31:23.884173014,IT related asset generated,Lenovo Thinkpad X1 Carbon
Helene Iberg,Travel,,EXP00000498,1815,2023-04-01 18:06:00,IT,Processed,,2023-04-02 18:06:00.000000000,Travel related asset,Samsonite Pro Suitcase
Vernon Engelman,Travel,,EXP00000499,5677,2023-09-25 17:21:00,IT,Declined,,,Automatically generated expense line for creation of travel-related asset,Corporate Travel Pass
