assigned_to,purchased_on,cost,serial_number,sys_updated_on,warranty_expiration,model_category,department,asset_tag,display_name,ci
Mamie Mcintee,2023-08-17 11:11:00,8000,,2023-08-29 11:11:00,2024-08-17 11:11:00,Web Server,Product Management,P1000435,Dell PowerEdge R740xd Web Server,PowerEdge R740xd
Darrel Tork,2023-05-28 13:11:00,5221,JGB-59513035,2023-07-05 13:11:00,2024-05-28 13:11:00,Server,Customer Support,P1000436,IBM Server X3650 M5,IBM X3650 M5
Karyn Jinks,2023-11-28 00:18:00,400,,2023-12-17 00:18:00,2024-11-28 00:18:00,Rack,IT,P1000437,Dell PowerEdge Rack Server,PowerEdge Rack Server
Cristopher Wiget,2024-01-20 02:05:00,588,CHF-93072480,2024-03-05 02:05:00,2026-01-20 02:05:00,Printer,Customer Support,P1000438,HP DeskJet 4530 printer,DeskJet 4530
Merle Wyrosdick,2023-10-01 17:19:00,870,NER-44763292,2023-10-28 17:19:00,2025-10-01 17:19:00,Printer,Customer Support,P1000439,HP LaserJet Pro M404dn Printer,LaserJet Pro M404dn
Mara Rineheart,2023-10-09 15:50:00,1767,XUL-01409726,2023-10-18 15:50:00,2025-02-14 15:50:00,Computer,Customer Support,P1000440,Dell Inspiron 5502 Computer,Inspiron 5502
Kasey Nguyen,2023-10-30 08:04:00,1535,VMY-08670019,2023-11-05 08:04:00,2024-11-15 08:04:00,Computer,Customer Support,P1000441,Dell Latitude 7400,Latitude 7400
Ella Pahnke,2024-01-16 03:51:00,1259,DTW-18384396,2024-01-21 03:51:00,2026-01-16 03:51:00,Printer,Customer Support,P1000442,HP LaserJet Pro M281fdw,LaserJet Pro M281fdw
George Tukis,2023-06-23 06:01:00,1661,OQY-57270444,2023-07-18 06:01:00,2026-06-23 06:01:00,Printer,Customer Support,P1000443,HP Officejet 5258 All-in-One Printer,Officejet 5258
Fabian Mcshaw,2024-03-04 23:10:00,391,,2024-03-22 23:10:00,2027-03-04 23:10:00,Storage Device,Sales,P1000444,Dell PowerVault MD3 Storage Device,PowerVault MD3
Judy Gartenmayer,2024-01-13 01:26:00,400,,2024-01-16 01:26:00,2025-01-13 01:26:00,Rack,IT,P1000445,Dell PowerEdge R940 Rack Server,PowerEdge R940
Valerie Pou,2023-10-29 11:56:00,7476,ZJB-09322334,2023-12-06 11:56:00,2024-10-29 11:56:00,Server,Customer Support,P1000446,Dell PowerEdge R740 Server,PowerEdge R740
Marquita Bousman,2023-05-30 12:21:00,474,,2023-07-29 12:21:00,2025-05-30 12:21:00,Storage Device,Customer Support,P1000447,Seagate External Hard Drive 2TB,External Hard Drive 2TB
Rena Griffeth,2023-09-05 10:59:00,321,,2023-10-22 10:59:00,2026-09-05 10:59:00,Computer Peripheral,Customer Support,P1000448,Logitech Wireless Mouse MX,Wireless Mouse MX
Robin Schartz,2023-04-22 11:08:00,469,,2023-06-16 11:08:00,2024-04-22 11:08:00,Computer Peripheral,Finance,P1000449,Logitech Wireless Mouse,Wireless Mouse
System Administrator,2023-11-02 07:50:00,2482,YUO-49554900,2023-11-11 07:50:00,2026-11-02 07:50:00,Printer,Finance,P1000450,HP LaserJet Pro M477fdw,LaserJet Pro M477fdw
System Administrator,2023-11-08 14:22:00,3100,QGE-07171667,2023-12-17 14:22:00,2026-12-25 14:22:00,Computer,Finance,P1000451,Dell Inspiron 3583,Inspiron 3583
Lynda Caraway,2023-11-14 02:37:00,400,,2023-12-17 02:37:00,2025-11-14 02:37:00,Rack,Customer Support,P1000452,Dell PowerEdge Rack,PowerEdge Rack
Mandy Mcdonnell,2024-03-24 04:24:00,8000,,2024-04-01 04:24:00,2026-03-24 04:24:00,Web Server,Development,P1000453,HPE ProLiant DL380 Web Server,ProLiant DL380
Diana Temple,2024-03-31 00:14:00,11630,PTH-61208657,2024-04-20 00:14:00,2027-03-31 00:14:00,Server,Sales,P1000454,Dell PowerEdge R940 Server,PowerEdge R940
Eli Bettner,2023-11-17 21:19:00,4378,VCC-72722627,2023-11-26 21:19:00,2028-09-16 21:19:00,Computer,IT,P1000455,Dell Inspiron 3493,Inspiron 3493
Kira Papen,2023-08-28 14:33:00,8000,,2023-10-05 14:33:00,2025-08-28 14:33:00,Web Server,Customer Support,P1000456,Dell PowerEdge R740 XD Web Server,PowerEdge R740 XD
Tiffany Knust,2023-09-24 13:55:00,8000,,2023-10-16 13:55:00,2024-09-24 13:55:00,Web Server,Customer Support,P1000457,Dell PowerEdge R440 Web Server,PowerEdge R440
Latisha Bahls,2023-10-30 10:06:00,2490,WFB-50047558,2023-11-14 10:06:00,2026-02-22 10:06:00,Computer,Customer Support,P1000458,Dell Inspiron 13 Computer,Inspiron 13
Reginald Humes,2024-02-25 21:38:00,400,,2024-03-28 21:38:00,2025-02-25 21:38:00,Rack,Sales,P1000459,Rack Server Dell PowerEdge R940,Dell PowerEdge R940
Nathanial Phoenix,2023-12-11 16:14:00,1034,NSH-81944879,2023-12-26 16:14:00,2024-12-11 16:14:00,Printer,Customer Support,P1000460,HP LaserJet Pro M277dw,LaserJet Pro M277dw
Darrel Tork,2023-11-13 05:30:00,400,,2023-11-24 05:30:00,2024-11-13 05:30:00,Rack,Customer Support,P1000461,Rack 4500 Modular Server,4500 Modular
Lynda Caraway,2024-02-13 18:12:00,482,,2024-03-30 18:12:00,2026-02-13 18:12:00,Computer Peripheral,Customer Support,P1000462,Dell USB Keyboard SK-8115,USB Keyboard SK-8115
Heath Vanalphen,2023-05-08 03:01:00,10219,PCD-79282125,2023-06-08 03:01:00,2025-05-08 03:01:00,Server,Sales,P1000463,Dell PowerEdge R740xd Server,PowerEdge R740xd
Zackary Mockus,2023-09-10 05:43:00,210,,2023-10-23 05:43:00,2026-09-10 05:43:00,Computer Peripheral,Customer Support,P1000464,Logitech MX Master 3 Computer Peripheral,MX Master 3
Valerie Pou,2023-06-04 05:13:00,400,,2023-06-21 05:13:00,2025-06-04 05:13:00,Rack,Customer Support,P1000465,DataCentric Rack Server D555,Rack Server D555
Karyn Jinks,2024-03-28 00:03:00,8000,,2024-04-19 00:03:00,2025-03-28 00:03:00,Web Server,IT,P1000466,Dell PowerEdge R740 Web Server,PowerEdge R740
Guillermo Tsang,2024-01-01 11:35:00,306,,2024-01-02 11:35:00,2025-01-01 11:35:00,Storage Device,Customer Support,P1000467,Western Digital Hard Drive 1TB,WD Hard Drive 1TB
Patty Bernasconi,2023-09-05 14:46:00,2114,COW-56610763,2023-09-27 14:46:00,2025-06-29 14:46:00,Computer,Sales,P1000468,Dell Inspiron 15 3000,Inspiron 15 3000
Alene Rabeck,2023-07-16 08:37:00,4712,TCA-51021595,2023-09-02 08:37:00,2028-10-25 08:37:00,Computer,Sales,P1000469,Dell Optiplex Desktop Computer,Optiplex Desktop
Nathanial Phoenix,2023-11-26 10:52:00,342,,2023-12-10 10:52:00,2026-11-26 10:52:00,Computer Peripheral,Customer Support,P1000470,Dell Computer Mouse 1020,Mouse 1020
Naomi Caetano,2023-05-27 18:43:00,7503,NTU-25710776,2023-07-04 18:43:00,2025-05-27 18:43:00,Server,Customer Support,P1000471,Dell PowerEdge R640 Server,PowerEdge R640
Kira Staffon,2023-12-16 04:33:00,456,,2024-02-04 04:33:00,2025-12-16 04:33:00,Computer Peripheral,Finance,P1000472,Dell Monitor HD2715,Monitor HD2715
Petra Clemmens,2023-07-30 08:21:00,679,PHH-50466024,2023-07-31 08:21:00,2024-07-30 08:21:00,Printer,Sales,P1000473,HP LaserJet P4014dn Printer,LaserJet P4014dn
Luella Pliner,2024-04-09 11:02:00,8000,,2024-04-25 11:02:00,2025-04-09 11:02:00,Web Server,Sales,P1000474,Dell PowerEdge R640 Web Server,PowerEdge R640
Ted Keppel,2024-04-03 12:43:00,1810,FFE-57250076,2024-04-05 12:43:00,2027-04-03 12:43:00,Printer,IT,P1000475,HP LaserJet Pro M15w,LaserJet Pro M15w
Mitchel Harnar,2023-10-14 13:20:00,2359,ZBX-91363744,2023-10-26 13:20:00,2026-10-14 13:20:00,Printer,Sales,P1000476,HP LaserJet Pro MFP M227fdw,LaserJet Pro MFP M227fdw
Mamie Mcintee,2023-08-10 10:43:00,400,,2023-08-25 10:43:00,2025-08-10 10:43:00,Rack,Product Management,P1000477,IBM Server Rack Model X,Server Rack Model X
Jeanie Dalen,2023-08-18 02:11:00,400,,2023-10-15 02:11:00,2026-08-18 02:11:00,Rack,Customer Support,P1000478,Dell PowerEdge Rack Server,PowerEdge Rack
Darrel Tork,2023-10-29 14:46:00,410,,2023-12-13 14:46:00,2026-10-29 14:46:00,Storage Device,Customer Support,P1000479,Dell PowerVault MD3800i,PowerVault MD3800i
Allie Pumphrey,2024-01-07 13:49:00,400,,2024-01-11 13:49:00,2027-01-07 13:49:00,Rack,Product Management,P1000480,Dell PowerEdge Rack Server R940,PowerEdge R940
Reginald Humes,2023-07-26 15:00:00,367,,2023-09-06 15:00:00,2025-07-26 15:00:00,Storage Device,Sales,P1000481,Seagate External Hard Drive 2TB,External Hard Drive 2TB
Diana Temple,2023-08-03 22:19:00,361,,2023-09-17 22:19:00,2026-08-03 22:19:00,Computer Peripheral,Sales,P1000482,Dell Monitor 24-Inch,Monitor 24-Inch
Ron Kettering,2023-10-10 12:45:00,11009,JCL-35722495,2023-10-12 12:45:00,2025-10-10 12:45:00,Server,IT,P1000483,Dell PowerEdge R740 Server,PowerEdge R740
Mara Rineheart,2023-05-31 04:21:00,8000,,2023-06-09 04:21:00,2025-05-31 04:21:00,Web Server,Customer Support,P1000484,Dell PowerEdge R740 Web Server,PowerEdge R740
Isaac Davensizer,2023-05-26 07:23:00,8000,,2023-07-21 07:23:00,2026-05-26 07:23:00,Web Server,Customer Support,P1000485,Dell PowerEdge R430 Web Server,PowerEdge R430
Jimmie Barninger,2023-10-03 04:15:00,400,,2023-10-14 04:15:00,2024-10-03 04:15:00,Rack,Customer Support,P1000486,Dell PowerEdge Rack,PowerEdge
Guillermo Tsang,2023-08-28 00:27:00,400,,2023-09-30 00:27:00,2026-08-28 00:27:00,Rack,Customer Support,P1000487,Hewlett-Packard ProLiant Rack Server,ProLiant Server
Elmo Dagenais,2024-02-14 23:44:00,400,,2024-03-11 23:44:00,2026-02-14 23:44:00,Rack,Sales,P1000488,Dell Server Rack 720xr,Dell Rack 720xr
Isaac Davensizer,2023-10-23 20:19:00,493,,2023-10-27 20:19:00,2026-10-23 20:19:00,Storage Device,Customer Support,P1000489,Samsung SSD 870 EVO,SSD 870 EVO
Eli Bettner,2023-08-05 12:39:00,1205,MWX-47498701,2023-08-30 12:39:00,2026-08-05 12:39:00,Printer,IT,P1000490,HP LaserJet Printer P1102,LaserJet P1102
Carla Sirbaugh,2024-01-31 06:52:00,400,,2024-03-10 06:52:00,2025-01-31 06:52:00,Rack,Product Management,P1000491,Rack Server - Dell PowerEdge R740,PowerEdge R740
Bridgett Retort,2024-02-19 22:06:00,1381,PKK-26211415,2024-04-02 22:06:00,2026-02-19 22:06:00,Printer,Finance,P1000492,HP LaserJet Pro M254dw,LaserJet Pro M254dw
Naomi Caetano,2023-12-31 07:04:00,3974,ZGV-75669994,2024-01-19 07:04:00,2028-04-17 07:04:00,Computer,Customer Support,P1000493,Dell Optiplex 3050,Optiplex 3050
Emery Reek,2024-03-04 20:59:00,427,,2024-04-13 20:59:00,2027-03-04 20:59:00,Computer Peripheral,Customer Support,P1000494,Logitech MX Master 3 Mouse,MX Master 3
Dollie Daquino,2023-11-18 12:48:00,758,BJX-78544762,2024-01-13 12:48:00,2026-11-18 12:48:00,Printer,Customer Support,P1000495,HP LaserJet Pro M454dw,LaserJet Pro M454dw
Maurine Monroy,2023-05-16 00:39:00,8000,,2023-06-02 00:39:00,2025-05-16 00:39:00,Web Server,IT,P1000496,Dell PowerEdge R740xd Web Server,PowerEdge R740xd
Kurtis Mcbay,2023-10-06 03:26:00,8000,,2023-11-10 03:26:00,2026-10-06 03:26:00,Web Server,Sales,P1000497,IBM Web Server X3,Web Server X3
Naomi Caetano,2023-10-02 08:50:00,921,EYZ-56289457,2023-10-27 08:50:00,2024-10-02 08:50:00,Printer,Customer Support,P1000498,Canon Pixma TR4520 Printer,Pixma TR4520
Merle Wyrosdick,2023-12-26 17:18:00,400,,2024-02-17 17:18:00,2026-12-26 17:18:00,Rack,Customer Support,P1000499,Dell PowerEdge R640 Rack Server,PowerEdge R640
